date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-08-11,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-08-12,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-08-13,31.86126885493773,66.50038723976297,3.18,10.58,13.55,12.517657101414038,6.97,1.64,8.01,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,71.39,1.02,264.79,,,84.41,971.66,0.01
2020-08-14,21.63,66.50038723976297,4.09,16.98,21.07,12.517657101414038,7.0,0.85,6.91,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.31,0.86,258.57,,,79.28,953.47,0.07
2020-08-15,21.88,66.50038723976297,3.81,16.14,19.66,12.517657101414038,7.0,0.87,7.32,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,85.67,0.84,256.81,,,79.44,984.93,0.07
2020-08-16,21.99,66.50038723976297,4.88,16.74,21.35,12.517657101414038,6.98,0.91,6.31,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,91.82,0.76,257.88,,,64.54,985.27,0.1
2020-08-17,21.89,66.50038723976297,4.29,18.25,20.27,12.517657101414038,6.98,1.25,6.02,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,91.83,0.66,254.55,,,83.56,971.9,0.07
2020-08-18,22.06,66.50038723976297,4.32,17.98,21.88,12.517657101414038,7.01,0.78,5.2,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.61,0.73,259.89,,,84.98,974.57,0.04
2020-08-19,22.01,66.50038723976297,5.11,19.14,24.21,12.517657101414038,7.0,0.8,6.94,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.5,0.75,263.56,,,95.31,986.43,0.08
2020-08-20,22.03,66.50038723976297,4.6,18.82,23.41,12.517657101414038,7.0,0.8,5.84,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.65,0.68,259.97,,,77.33,985.8,0.09
